nodeId,category,name,desc,book,crystal1,crystal2,parents,E1Kind,E1Op,E1Key,E1Value,E1Bool,E2Kind,E2Op,E2Key,E2Value,E2Bool,E3Kind,E3Op,E3Key,E3Value,E3Bool
0,Attack,Power Surge 1,Mita's attack damage rises by 2. \n A basic upgrade for combat efficiency.,1,2,0,,Stat,Add,atk_dmg,2,,,,,,,,,,,
1,Attack,Power Surge 2,Mita's attack damage rises by 2. \n Further improves combat efficiency.,1,2,0,0,Stat,Add,atk_dmg,2,,,,,,,,,,,
2,Attack,Quick Draw 1,Mita's attack speed rises by 0.2. \n The attack cycle is shortened.,1,3,0,0,Stat,Add,atk_spd,0.2,,,,,,,,,,,
3,Attack,Swift Round 1,The speed of Mita's bullets rises by 0.2. \n Aids accuracy on ranged attacks.,1,3,0,1|2,Stat,Add,bullet_spd,0.2,,,,,,,,,,,
4,Attack,Heavy Round 1,The size of Mita's bullets rises by 0.2. \n Stabilizes the attack hitbox.,1,3,0,3,Stat,Add,bullet_size,0.2,,,,,,,,,,,
5,Attack,Swift Round 2,The speed of Mita's bullets rises by 0.2. \n You'll be able to hit enemies faster.,1,3,1,3,Stat,Add,bullet_spd,0.2,,,,,,,,,,,
6,Attack,Long Sight 1,Mita's attack range rises by 2. \n Makes combat possible from a safer distance.,1,3,1,4|5,Stat,Add,bullet_rng,2,,,,,,,,,,,
7,Attack,Power Surge 3,Mita's attack damage rises by 2. \n No need to fear even when entering deeper caves.,1,3,1,6,Stat,Add,atk_dmg,2,,,,,,,,,,,
8,Attack,Quick Draw 2,Mita's attack speed rises by 0.2. \n Continuous-attack capability is reinforced.,2,3,2,6,Stat,Add,atk_spd,0.2,,,,,,,,,,,
9,Attack,Heavy Mod 1,"Mita’s attack power increases by 5, but attack speed decreases by 0.4. \n A setup for maximum output.",2,3,2,7,Stat,Add,atk_dmg,5,,Stat,Add,atk_spd,-0.4,,,,,,
10,Attack,Power Surge 4,Mita's attack damage rises by 3. \n Mita braces for combat before entering a high-risk cave.,2,5,2,7|8,Stat,Add,atk_dmg,3,,,,,,,,,,,
11,Attack,Rapid Mod 1,Mita's attack speed rises by 0.4 and range drops by 5. \n No fear of close combat either.,2,5,2,8,Stat,Add,atk_spd,0.4,,Stat,Add,bullet_rng,-5,,,,,,
12,Attack,Quick Draw 3,Mita's attack speed rises by 0.2. \n Shows an attack cadence faster than anyone else.,3,5,3,9|10,Stat,Add,atk_spd,0.2,,,,,,,,,,,
13,Attack,Long Sight 3,Mita's attack range rises by 2. \n At this point you could call her a sniper.,3,5,3,10|11,Stat,Add,bullet_rng,2,,,,,,,,,,,
14,Attack,The Delver's Gun,"Mita’s attack power Increases by 5, range by 3, and attack Speed by 0.2. \n Refitted into a firearm worthy of a true delver.",5,10,5,12|13,Stat,Add,atk_dmg,5,,Stat,Add,bullet_rng,3,,Stat,Add,atk_spd,0.2,
0,Skill,Composure 1,"When Mita finishes a target with an execution, the Fragile gauge recovers by 5.",1,1,1,,Stat,Add,exe_fragile_regen,5,,,,,,,,,,,
1,Skill,Finisher's Reach 1,Mita's execution range rises by 5. \n Makes it easier to seize execution chances.,1,1,0,0,Stat,Add,exe_range,5,,,,,,,,,,,
2,Skill,Finisher's Blast 1,Executions now deal damage to surrounding enemies. \n Will come in handy during combat.,1,3,1,0,Stat,Add,exe_splash_dmg,10,,,,,,,,,,,
3,Skill,Finisher's Reach 2,Mita's execution range rises by 5. \n Makes it easier to execute from afar.,1,3,1,1,Stat,Add,exe_range,5,,,,,,,,,,,
